,PTR40-0913,PTC70-0617,TTH47-20171120,TTY70-20170706,TTR83-1202,NTH71-0913,PTS52-0729,PD10_ZZM_TTC33-20170512,TTC1-20171208,TTC92-0729,TTR156-0913,TTR168-0913,TTR47-0617,TTR102-0913,NTC34-1010,PTH38-20171219,TTY31-0913,PTC20-20171120,TTY21-20170706,NTH11-20171219,TTY65-1011,TTH23-0616P,TTH102-20171120,TTC160-0617,PTR53-0616A,PTH23-0729,TTC21-20170706,PTR62-1011,TTC176-0617,TTY21-0616A,NTH-30-0617,TTR43-1010,NTC55-1202,PD10_ZZM_TTH4-0616A,PTR57-1010,NTS33-0729,TTR12-0617,TTH80-0913,TTR61-0617,PTR45-1011,PTC19-1010,TTC70-1202,PD10_ZZM_LNTC34-0512,TTC150-0616A,NTC15-0913,TTC267-1011,PTH66-0729,PD10_ZZM_TTC9-20170512,NTC81-0729,TTY42-20171120,PTC40-20171120,NTS-49-0617,NTC5-1010,TTR133-0616A,TTY91-1202,NTY56-1202,TTH149-0913,PTY2-20171120,PTH81-0913,TTR108-1010,TTC51-0913,PD10_ZZM_PTC68-20171208,NTH94-0729,PTC78-0913,PTS74-0729,TTH96-20171120,TTS56-0617,PTR108-0617,PTH6-20171120,PTC91-20171120,TTC145-0729,PTR56-0913,PTS25-0729,TTR20-0617,TTC30-20171219,PTC31-1010,TTR78-0617,PTC49-0913,TTC157-20171120,TTR48-1010
RBM5,1.85464304139836,-0.700419489778152,2.13322340635661,-0.657662129237038,1.15426439387313,0.78722738579532,-0.700419489778152,0.77326424438046,-0.700419489778152,-0.508160162356553,-0.692361692853929,-0.168962243628073,-0.700419489778152,1.35679426895396,0.834513155041478,-0.680427569302789,-0.680622532269112,-0.700419489778152,-0.700419489778152,-0.700419489778152,-0.399535422077487,-0.700419489778152,1.82341931864251,-0.700419489778152,0.992368971050449,-0.700419489778152,-0.700419489778152,2.03222100837147,-0.700419489778152,0.548172704365573,-0.700419489778152,0.783778203836652,-0.700419489778152,-0.689977276674895,1.21304738307507,-0.700419489778152,1.78989363251365,-0.700419489778152,0.930681307810027,0.363355824217961,-0.682064933833872,1.01910367728919,-0.700419489778152,-0.686440657128622,1.52179264284134,-0.678502814841994,-0.700419489778152,-0.700419489778152,-0.700419489778152,-0.700419489778152,-0.0179106627050164,1.87761525681065,-0.700419489778152,2.18562181636049,-0.0709085791512877,-0.234661251175078,2.68847687258969,1.14525899877599,1.6812320694367,-0.676267479811895,-0.700419489778152,-0.659757784202854,-0.700419489778152,-0.700419489778152,-0.495087638670349,-0.60662863970099,-0.700419489778152,-0.700419489778152,-0.700419489778152,1.29886149266678,-0.700419489778152,-0.17887828188507,-0.700419489778152,-0.700419489778152,-0.700419489778152,1.67645008364662,-0.700419489778152,-0.644254832381591,-0.677875303639196,1.52071816692978
SARM1,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.0291896065135604,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,5.47749756834018,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.0052850574235408,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,1.4300246289815,-0.19350052420045,-0.19350052420045,-0.19350052420045,3.43153482186994,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045,-0.19350052420045
RBM6,0.710924526074137,1.63282979558481,-0.915867939104064,-0.93610894146868,-0.806327204365429,0.465172749982711,1.55424400107679,1.5034014431393,-0.889710923544502,-0.93610894146868,-0.895279708099971,0.782650775074947,-0.93610894146868,-0.929827772321465,0.680088474836729,-0.902061603404432,-0.924746796324617,2.40249036574496,1.18627887654227,-0.93610894146868,0.979492917525988,-0.903393075380737,-0.927189488955259,-0.919656106051918,-0.917822193060746,-0.93610894146868,-0.93610894146868,-0.907904224641182,-0.790785047500815,-0.452526973517808,0.471502265417756,0.0112558128690006,-0.93610894146868,2.07703750347124,-0.925566397668575,-0.93610894146868,-0.93610894146868,1.67327171206426,-0.93610894146868,0.240765647491198,0.832124684060013,1.09561128098155,0.0130483456379591,1.83999514030547,-0.868480167862669,-0.640861719567986,-0.93610894146868,0.455841747945842,-0.93610894146868,0.990775493990835,-0.928171988740593,-0.905086721575023,0.493798998553605,-0.116359814393057,-0.479264721971278,0.557038131021774,-0.294029650037625,1.51444315722102,-0.899110108815829,1.31606362087307,1.00774338327955,2.06652011474655,-0.93610894146868,1.43142697245657,-0.93610894146868,0.20414365801556,-0.93610894146868,1.38475183654858,0.753468118092542,-0.93610894146868,0.362878114130008,-0.0177714148832307,-0.93610894146868,-0.93610894146868,-0.93610894146868,1.61497341269024,-0.93610894146868,1.60906468343238,-0.93610894146868,-0.765598274246895
CSDE1,-0.147551437704665,-1.0181896885044,-1.01251810911161,-0.987532409213216,-1.0181896885044,-0.966806853362102,-1.0181896885044,1.00191374941879,-1.0181896885044,0.535455298405308,-0.984091692284393,0.945800435701014,1.45065159173405,-1.0181896885044,0.683115503861627,-1.00385536379811,1.19093223627832,-1.0181896885044,0.432299089159842,-0.737073852059228,0.369007680048069,-0.0284823454487243,0.17744715162688,-1.0181896885044,0.825076803448587,-1.0181896885044,-1.0181896885044,1.00815308488166,1.35084713473094,1.07609312358533,0.474748380433578,1.20828087102611,1.75830188029158,-0.960038057487336,0.925313007938913,0.343670931016085,0.481815047172866,-1.00968711998567,-1.0181896885044,-0.932584242076086,1.20399342418867,0.462084644805645,-0.128493753284154,-0.998259075949626,-0.3480715538979,-0.994724245265766,0.860204907572753,0.0605643126065227,-1.0181896885044,-1.0181896885044,0.715988894776026,-0.0499420724519252,1.01232850973933,0.553877365543677,-0.965885167286909,-1.0181896885044,1.36515442249097,-0.937718326098912,-0.180608025566382,0.910195729213669,0.678234783468852,-1.0181896885044,1.38695956811387,0.847768352542967,-0.467642119960162,-0.173778957771455,0.558936533898992,1.42492055763558,0.0576358774622007,-0.0826114660073181,-0.71997055541521,1.03890305941191,-1.0181896885044,-1.00006807602561,-1.0181896885044,0.919910934947448,1.46327767922703,0.607149361295165,-0.185326417977112,0.115754677304677
SCMH1,-0.148257930113796,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.193009351325719,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,0.766093328395228,-0.242960085363686,-0.242960085363686,-0.242960085363686,2.12264922631827,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,0.946246510959827,-0.242960085363686,-0.204010763992383,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.208033328192037,-0.206203417497089,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,3.25743634522851,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,2.66536518443833,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686,-0.242960085363686
PTBP1,-0.66864373010027,-0.687958228422759,-0.679959648582425,2.39438052283951,-0.634842239299055,-0.687958228422759,-0.687958228422759,1.48872214713766,-0.687958228422759,-0.687958228422759,1.65147525578756,-0.687958228422759,-0.687958228422759,-0.673207223474578,1.40116873850513,1.5148894118889,-0.687958228422759,-0.687958228422759,1.33895295484646,-0.687958228422759,-0.659485409129643,-0.687958228422759,1.63577923362831,0.399471496006738,-0.661094972232791,-0.687958228422759,-0.687958228422759,1.01717289819295,-0.687958228422759,-0.687958228422759,-0.687958228422759,1.35514949384665,-0.687958228422759,-0.687958228422759,-0.687958228422759,-0.687958228422759,1.48539514337614,-0.687958228422759,0.955061386566524,-0.672195037820369,1.20920620976212,-0.687958228422759,-0.687958228422759,-0.673823010887859,-0.687958228422759,-0.676826798314176,-0.687958228422759,1.52623065869887,-0.687958228422759,-0.687958228422759,-0.687958228422759,-0.687958228422759,-0.687958228422759,-0.687958228422759,1.37150853119169,1.13173404022946,-0.687958228422759,-0.687958228422759,1.35757510779902,1.1115484660804,1.72300893649066,-0.687958228422759,-0.687958228422759,-0.687958228422759,-0.687958228422759,-0.687958228422759,-0.687958228422759,2.83474177576817,-0.117277209504398,0.940784755536783,-0.687958228422759,1.0615746764733,-0.687958228422759,-0.687958228422759,2.32249633792771,-0.687958228422759,-0.55348316559563,0.261512396295091,-0.687958228422759,0.454269970630684
ZC3H3,-0.25468872225171,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.211591987845234,-0.257394209631116,-0.275975434606274,3.26017169417138,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,0.622815387156571,-0.275975434606274,-0.275975434606274,-0.275975434606274,3.80838684359218,0.890544768027929,-0.275975434606274,0.394473490224426,-0.275975434606274,1.14299080958565,-0.243315596991615,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,0.482089183168959,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.258299498919173,2.77179519552168,-0.275975434606274,-0.275975434606274,-0.275975434606274,-0.275975434606274
MATR3,0.116247076567922,-1.02805189930667,-1.02805189930667,-0.370932326405701,0.0607971598775034,-1.00949889103656,-1.02805189930667,-1.00900880173388,2.35987867537039,-1.02805189930667,-0.901743695720281,-0.084943739583955,-1.02805189930667,0.779335195783488,-0.744364750427544,-1.02805189930667,0.828933851036999,-1.01026153271981,-0.932932569670738,0.622098582640113,1.4212551635126,1.43972102504727,-0.930189572051119,1.84691538830089,0.759930420892189,-1.02805189930667,-1.02805189930667,1.6361009764081,1.42318176969362,-0.430581762576301,1.207916941146,0.735848285481399,1.09834247804955,1.90933280713523,-1.02805189930667,-1.02805189930667,1.09184720144441,1.34308068390704,-0.907184834469681,0.541642812884333,0.948300066679689,1.10692844853978,-0.34458678854491,1.63413381325254,-1.01130011619096,-1.00313196875099,0.814858448569861,1.10807317467718,-1.02805189930667,0.478273459890221,-1.02805189930667,-1.02805189930667,-1.02805189930667,1.87124573165969,-1.02805189930667,-0.846823190905125,1.49494608126,-1.02805189930667,-0.995237555770368,0.512912613426647,0.590240726907861,0.194951001747415,-1.02805189930667,1.30318928066774,1.38300028838936,-1.00966859680073,-1.02805189930667,-1.02805189930667,0.305005074299574,-0.447766232183246,1.44863131918285,0.600386951757986,0.295254841458392,-1.02805189930667,1.01072133647204,-1.02805189930667,1.29997291252034,-0.99579117372333,-1.02805189930667,-1.00485765984702
SAMD4A,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776,-0.0662259290286776
LCP2,-0.943636001098927,1.30384784757497,-0.688637010657148,-1.02159966869588,0.100520094795667,1.41791581677845,0.58921917360048,-0.995479565943645,-1.02159966869588,2.057462750109,-1.02159966869588,1.64285180826845,2.29942983506524,-0.166005508941526,-1.02159966869588,-1.02159966869588,1.19248964820949,0.487197641903286,2.38696619151205,-1.02159966869588,-0.504548942785459,1.91221089147503,1.27965574791585,-0.994983388251032,0.998052152768962,2.37542939588526,1.93549596616228,-0.320379629551874,-1.02159966869588,-0.256030380614947,0.595621586571577,-1.00886261286188,0.679209761602221,-0.952346398546861,-0.426966335880256,-0.930122103708937,-1.02159966869588,0.928839071942686,1.52066308112222,0.783531638819098,0.264312328832057,0.918713490879944,-0.918737316982803,0.62967976070202,1.16452726150408,-0.578528321967529,0.997232463072798,-0.370526490594711,1.75175531752256,0.864939339272864,-1.02159966869588,-1.02159966869588,-0.728349079136344,-0.99110844588576,-0.261417762419129,0.0804870890568347,1.04658066294159,-1.02159966869588,0.612134248787201,-0.151620122560173,1.40449511367925,-1.02159966869588,-0.590275771701738,0.832795017898567,-0.694105375078748,-0.900301685327068,1.50066797066091,-1.02159966869588,-1.02159966869588,-1.02159966869588,2.60964640397225,-0.672703463352204,0.183067167517297,2.8706524944441,-1.02159966869588,0.532347876850244,1.70226055202982,-0.175021703360114,0.433530150289632,0.004316195738223
